# step | KE | PE | CoM x | CoM y | CoM z | L_x | L_y | L_z | rmsd | vdw_area_0_surface | vdw_force_0_surface | vdw_energy_0_surface
54001	+3.328631e-19	+4.388965e-19	-1.637633e-10	-3.033075e-10	+3.325595e-11	+8.619041e-31	-2.241273e-30	+9.054047e-30	+5.694994e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
55001	+3.967618e-19	+3.596482e-19	-1.643951e-10	-3.243132e-10	+2.837712e-11	+4.204905e-31	-2.234882e-30	+1.045059e-29	+5.788291e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
56001	+3.264475e-19	+4.059084e-19	-1.694883e-10	-3.463662e-10	+2.201218e-11	+1.109395e-30	-2.771477e-30	+8.698006e-30	+5.923740e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
57001	+3.894395e-19	+3.818599e-19	-1.776810e-10	-3.626886e-10	+1.263538e-11	+8.802028e-31	-5.417694e-30	+5.672953e-30	+6.019745e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
58001	+4.223301e-19	+4.175612e-19	-1.853723e-10	-3.738778e-10	+1.490437e-12	+7.032129e-31	-4.352452e-30	+4.733566e-30	+6.110823e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
59001	+3.036405e-19	+3.601301e-19	-1.934563e-10	-3.835140e-10	-8.428352e-12	+6.877962e-31	-4.605881e-30	+4.174469e-30	+6.226051e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
60001	+4.023805e-19	+3.667674e-19	-2.019824e-10	-3.916465e-10	-1.849019e-11	+2.468273e-31	-4.691154e-30	+4.697830e-30	+6.346199e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
61001	+3.717342e-19	+4.360470e-19	-2.117220e-10	-4.019056e-10	-2.670691e-11	-3.573386e-32	-3.394762e-30	+4.582503e-30	+6.500524e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
62001	+3.346577e-19	+3.124448e-19	-2.230492e-10	-4.105532e-10	-3.239511e-11	-7.093735e-31	-2.158547e-30	+2.910660e-30	+6.533791e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
63001	+4.189201e-19	+3.584053e-19	-2.340435e-10	-4.180229e-10	-3.379581e-11	-1.054991e-30	-8.524320e-31	+3.512271e-30	+6.650136e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
64001	+3.539266e-19	+3.873232e-19	-2.451469e-10	-4.243296e-10	-3.685293e-11	-1.278056e-30	-2.284159e-30	+2.319204e-30	+6.748140e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
65001	+4.059236e-19	+4.374211e-19	-2.590185e-10	-4.302822e-10	-3.849901e-11	-1.421869e-30	-1.113556e-30	+3.577977e-30	+6.858669e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
66001	+3.405202e-19	+3.935007e-19	-2.741823e-10	-4.369050e-10	-3.826235e-11	-1.381145e-30	-1.607348e-30	+3.056053e-30	+6.940054e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
67001	+4.273212e-19	+4.190786e-19	-2.827199e-10	-4.416191e-10	-3.890731e-11	-1.372534e-30	-3.432139e-30	+1.299251e-30	+7.070348e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
68001	+3.864569e-19	+3.505495e-19	-2.890361e-10	-4.458494e-10	-3.809500e-11	-1.346421e-30	-1.952967e-30	+2.692809e-30	+7.071761e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
69001	+4.284765e-19	+3.497762e-19	-2.944675e-10	-4.517152e-10	-3.732825e-11	-1.110794e-30	-2.783501e-30	+3.960271e-30	+7.173128e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
70001	+4.635597e-19	+3.682558e-19	-2.959760e-10	-4.579463e-10	-3.891702e-11	-7.250348e-31	-3.311688e-30	+3.159410e-30	+7.312263e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
71001	+3.583714e-19	+3.903334e-19	-2.929201e-10	-4.629742e-10	-4.116083e-11	-1.068311e-31	-4.544578e-30	+2.930731e-30	+7.377439e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
72001	+3.384237e-19	+3.715090e-19	-2.845324e-10	-4.656066e-10	-4.691350e-11	-1.451549e-31	-3.672634e-30	+1.389218e-30	+7.419243e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
73001	+3.246841e-19	+3.314660e-19	-2.784983e-10	-4.635895e-10	-5.050242e-11	+4.997221e-31	-4.161819e-30	+9.964337e-31	+7.486533e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
74001	+4.306293e-19	+4.573219e-19	-2.703130e-10	-4.581433e-10	-5.617670e-11	+4.310494e-31	-4.346552e-30	+2.441855e-31	+7.572815e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
75001	+3.985223e-19	+4.146841e-19	-2.599517e-10	-4.566804e-10	-6.041835e-11	+5.192298e-31	-4.541044e-30	+2.434141e-30	+7.559464e-10	+0.000000e+00	+0.000000e+00	+0.000000e+00
